"filename", "language", "JSON", "JSON with Comments", "TypeScript", "Prisma", "JavaScript", "Markdown", "MS SQL", "comment", "blank", "total"
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\helpers\postgresErrorCode.enum.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\interfaces\auth.interface.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\interfaces\paginated-result.interface.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\library\Logging.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\main.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 7, 32
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\middleware\logger.middleware.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 1, 3, 20
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\modules\app.controller.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 5, 23
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\modules\app.controller.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\modules\app.module.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 0, 3, 43
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\modules\app.service.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\modules\auctions\auctions.controller.ts", "TypeScript", 0, 0, 83, 0, 0, 0, 0, 5, 13, 101
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\modules\auctions\auctions.module.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\modules\auctions\auctions.service.ts", "TypeScript", 0, 0, 113, 0, 0, 0, 0, 5, 11, 129
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\modules\auctions\dto\bid.dto.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\modules\auctions\dto\create-auction.dto.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\modules\auctions\dto\update-auction.dto.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\modules\auth\auth.controller.ts", "TypeScript", 0, 0, 68, 0, 0, 0, 0, 0, 8, 76
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\modules\auth\auth.module.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 0, 3, 40
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\modules\auth\auth.service.ts", "TypeScript", 0, 0, 59, 0, 0, 0, 0, 0, 12, 71
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\modules\auth\dto\login-user.dto.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\modules\auth\dto\register-user.dto.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\modules\auth\dto\update-password.dto.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\modules\auth\guards\jwt.guard.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 2, 4, 33
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\modules\auth\guards\local-auth.guard.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\modules\auth\strategies\jwt.strategy.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 3, 27
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\modules\auth\strategies\local.strategy.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\modules\database\prisma.module.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\niko.kavas\Documents\Skillup\AUCTIONBAY\auctionbay-backend\src\modules\database\prisma.service.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 1, 3, 12
